Date,Day,MonthName,MonthNumber,Quarter,Year
1997-08-22,22,August,8,3,1997
1997-08-23,23,August,8,3,1997
1997-08-24,24,August,8,3,1997
1997-08-25,25,August,8,3,1997
1997-08-26,26,August,8,3,1997
1997-08-27,27,August,8,3,1997
1997-08-28,28,August,8,3,1997
1997-08-29,29,August,8,3,1997
1997-08-30,30,August,8,3,1997
1997-08-31,31,August,8,3,1997
1997-09-01,1,September,9,3,1997
1997-09-02,2,September,9,3,1997
1997-09-03,3,September,9,3,1997
1997-09-04,4,September,9,3,1997
1997-09-05,5,September,9,3,1997
1997-09-06,6,September,9,3,1997
1997-09-07,7,September,9,3,1997
1997-09-08,8,September,9,3,1997
1997-09-09,9,September,9,3,1997
1997-09-10,10,September,9,3,1997
1997-09-11,11,September,9,3,1997
1997-09-12,12,September,9,3,1997
1997-09-13,13,September,9,3,1997
1997-09-14,14,September,9,3,1997
1997-09-15,15,September,9,3,1997
1997-09-16,16,September,9,3,1997
1997-09-17,17,September,9,3,1997
1997-09-18,18,September,9,3,1997
1997-09-19,19,September,9,3,1997
1997-09-20,20,September,9,3,1997
1997-09-21,21,September,9,3,1997
1997-09-22,22,September,9,3,1997
1997-09-23,23,September,9,3,1997
1997-09-24,24,September,9,3,1997
1997-09-25,25,September,9,3,1997
1997-09-26,26,September,9,3,1997
1997-09-27,27,September,9,3,1997
1997-09-28,28,September,9,3,1997
1997-09-29,29,September,9,3,1997
1997-09-30,30,September,9,3,1997
1997-10-01,1,October,10,4,1997
1997-10-02,2,October,10,4,1997
1997-10-03,3,October,10,4,1997
1997-10-04,4,October,10,4,1997
1997-10-05,5,October,10,4,1997
1997-10-06,6,October,10,4,1997
1997-10-07,7,October,10,4,1997
1997-10-08,8,October,10,4,1997
1997-10-09,9,October,10,4,1997
1997-10-10,10,October,10,4,1997
1997-10-11,11,October,10,4,1997
1997-10-12,12,October,10,4,1997
1997-10-13,13,October,10,4,1997
1997-10-14,14,October,10,4,1997
1997-10-15,15,October,10,4,1997
1997-10-16,16,October,10,4,1997
1997-10-17,17,October,10,4,1997
1997-10-18,18,October,10,4,1997
1997-10-19,19,October,10,4,1997
1997-10-20,20,October,10,4,1997
1997-10-21,21,October,10,4,1997
1997-10-22,22,October,10,4,1997
1997-10-23,23,October,10,4,1997
1997-10-24,24,October,10,4,1997
1997-10-25,25,October,10,4,1997
1997-10-26,26,October,10,4,1997
1997-10-27,27,October,10,4,1997
1997-10-28,28,October,10,4,1997
1997-10-29,29,October,10,4,1997
1997-10-30,30,October,10,4,1997
1997-10-31,31,October,10,4,1997
1997-11-01,1,November,11,4,1997
1997-11-02,2,November,11,4,1997
1997-11-03,3,November,11,4,1997
1997-11-04,4,November,11,4,1997
1997-11-05,5,November,11,4,1997
1997-11-06,6,November,11,4,1997
1997-11-07,7,November,11,4,1997
1997-11-08,8,November,11,4,1997
1997-11-09,9,November,11,4,1997
1997-11-10,10,November,11,4,1997
1997-11-11,11,November,11,4,1997
1997-11-12,12,November,11,4,1997
1997-11-13,13,November,11,4,1997
1997-11-14,14,November,11,4,1997
1997-11-15,15,November,11,4,1997
1997-11-16,16,November,11,4,1997
1997-11-17,17,November,11,4,1997
1997-11-18,18,November,11,4,1997
1997-11-19,19,November,11,4,1997
1997-11-20,20,November,11,4,1997
1997-11-21,21,November,11,4,1997
1997-11-22,22,November,11,4,1997
1997-11-23,23,November,11,4,1997
1997-11-24,24,November,11,4,1997
1997-11-25,25,November,11,4,1997
1997-11-26,26,November,11,4,1997
1997-11-27,27,November,11,4,1997
1997-11-28,28,November,11,4,1997
1997-11-29,29,November,11,4,1997
1997-11-30,30,November,11,4,1997
1997-12-01,1,December,12,4,1997
1997-12-02,2,December,12,4,1997
1997-12-03,3,December,12,4,1997
1997-12-04,4,December,12,4,1997
1997-12-05,5,December,12,4,1997
1997-12-06,6,December,12,4,1997
1997-12-07,7,December,12,4,1997
1997-12-08,8,December,12,4,1997
1997-12-09,9,December,12,4,1997
1997-12-10,10,December,12,4,1997
1997-12-11,11,December,12,4,1997
1997-12-12,12,December,12,4,1997
1997-12-13,13,December,12,4,1997
1997-12-14,14,December,12,4,1997
1997-12-15,15,December,12,4,1997
1997-12-16,16,December,12,4,1997
1997-12-17,17,December,12,4,1997
1997-12-18,18,December,12,4,1997
1997-12-19,19,December,12,4,1997
1997-12-20,20,December,12,4,1997
1997-12-21,21,December,12,4,1997
1997-12-22,22,December,12,4,1997
1997-12-23,23,December,12,4,1997
1997-12-24,24,December,12,4,1997
1997-12-25,25,December,12,4,1997
1997-12-26,26,December,12,4,1997
1997-12-27,27,December,12,4,1997
1997-12-28,28,December,12,4,1997
1997-12-29,29,December,12,4,1997
1997-12-30,30,December,12,4,1997
1997-12-31,31,December,12,4,1997
1998-01-01,1,January,1,1,1998
1998-01-02,2,January,1,1,1998
1998-01-03,3,January,1,1,1998
1998-01-04,4,January,1,1,1998
1998-01-05,5,January,1,1,1998
1998-01-06,6,January,1,1,1998
1998-01-07,7,January,1,1,1998
1998-01-08,8,January,1,1,1998
1998-01-09,9,January,1,1,1998
1998-01-10,10,January,1,1,1998
1998-01-11,11,January,1,1,1998
1998-01-12,12,January,1,1,1998
1998-01-13,13,January,1,1,1998
1998-01-14,14,January,1,1,1998
1998-01-15,15,January,1,1,1998
1998-01-16,16,January,1,1,1998
1998-01-17,17,January,1,1,1998
1998-01-18,18,January,1,1,1998
1998-01-19,19,January,1,1,1998
1998-01-20,20,January,1,1,1998
1998-01-21,21,January,1,1,1998
1998-01-22,22,January,1,1,1998
1998-01-23,23,January,1,1,1998
1998-01-24,24,January,1,1,1998
1998-01-25,25,January,1,1,1998
1998-01-26,26,January,1,1,1998
1998-01-27,27,January,1,1,1998
1998-01-28,28,January,1,1,1998
1998-01-29,29,January,1,1,1998
1998-01-30,30,January,1,1,1998
1998-01-31,31,January,1,1,1998
1998-02-01,1,February,2,1,1998
1998-02-02,2,February,2,1,1998
1998-02-03,3,February,2,1,1998
1998-02-04,4,February,2,1,1998
1998-02-05,5,February,2,1,1998
1998-02-06,6,February,2,1,1998
1998-02-07,7,February,2,1,1998
1998-02-08,8,February,2,1,1998
1998-02-09,9,February,2,1,1998
1998-02-10,10,February,2,1,1998
1998-02-11,11,February,2,1,1998
1998-02-12,12,February,2,1,1998
1998-02-13,13,February,2,1,1998
1998-02-14,14,February,2,1,1998
1998-02-15,15,February,2,1,1998
1998-02-16,16,February,2,1,1998
1998-02-17,17,February,2,1,1998
1998-02-18,18,February,2,1,1998
1998-02-19,19,February,2,1,1998
1998-02-20,20,February,2,1,1998
1998-02-21,21,February,2,1,1998
1998-02-22,22,February,2,1,1998
1998-02-23,23,February,2,1,1998
1998-02-24,24,February,2,1,1998
1998-02-25,25,February,2,1,1998
1998-02-26,26,February,2,1,1998
1998-02-27,27,February,2,1,1998
1998-02-28,28,February,2,1,1998
1998-03-01,1,March,3,1,1998
1998-03-02,2,March,3,1,1998
1998-03-03,3,March,3,1,1998
1998-03-04,4,March,3,1,1998
1998-03-05,5,March,3,1,1998
1998-03-06,6,March,3,1,1998
1998-03-07,7,March,3,1,1998
1998-03-08,8,March,3,1,1998
1998-03-09,9,March,3,1,1998
1998-03-10,10,March,3,1,1998
1998-03-11,11,March,3,1,1998
1998-03-12,12,March,3,1,1998
1998-03-13,13,March,3,1,1998
1998-03-14,14,March,3,1,1998
1998-03-15,15,March,3,1,1998
1998-03-16,16,March,3,1,1998
1998-03-17,17,March,3,1,1998
1998-03-18,18,March,3,1,1998
1998-03-19,19,March,3,1,1998
1998-03-20,20,March,3,1,1998
1998-03-21,21,March,3,1,1998
1998-03-22,22,March,3,1,1998
1998-03-23,23,March,3,1,1998
1998-03-24,24,March,3,1,1998
1998-03-25,25,March,3,1,1998
1998-03-26,26,March,3,1,1998
1998-03-27,27,March,3,1,1998
1998-03-28,28,March,3,1,1998
1998-03-29,29,March,3,1,1998
1998-03-30,30,March,3,1,1998
1998-03-31,31,March,3,1,1998
1998-04-01,1,April,4,2,1998
1998-04-02,2,April,4,2,1998
1998-04-03,3,April,4,2,1998
1998-04-04,4,April,4,2,1998
1998-04-05,5,April,4,2,1998
1998-04-06,6,April,4,2,1998
1998-04-07,7,April,4,2,1998
1998-04-08,8,April,4,2,1998
1998-04-09,9,April,4,2,1998
1998-04-10,10,April,4,2,1998
1998-04-11,11,April,4,2,1998
1998-04-12,12,April,4,2,1998
1998-04-13,13,April,4,2,1998
1998-04-14,14,April,4,2,1998
1998-04-15,15,April,4,2,1998
1998-04-16,16,April,4,2,1998
1998-04-17,17,April,4,2,1998
1998-04-18,18,April,4,2,1998
1998-04-19,19,April,4,2,1998
1998-04-20,20,April,4,2,1998
1998-04-21,21,April,4,2,1998
1998-04-22,22,April,4,2,1998
1998-04-23,23,April,4,2,1998
1998-04-24,24,April,4,2,1998
1998-04-25,25,April,4,2,1998
1998-04-26,26,April,4,2,1998
1998-04-27,27,April,4,2,1998
1998-04-28,28,April,4,2,1998
1998-04-29,29,April,4,2,1998
1998-04-30,30,April,4,2,1998
1998-05-01,1,May,5,2,1998
1998-05-02,2,May,5,2,1998
1998-05-03,3,May,5,2,1998
1998-05-04,4,May,5,2,1998
1998-05-05,5,May,5,2,1998
1998-05-06,6,May,5,2,1998
1998-05-07,7,May,5,2,1998
1998-05-08,8,May,5,2,1998
1998-05-09,9,May,5,2,1998
1998-05-10,10,May,5,2,1998
1998-05-11,11,May,5,2,1998
1998-05-12,12,May,5,2,1998
1998-05-13,13,May,5,2,1998
1998-05-14,14,May,5,2,1998
1998-05-15,15,May,5,2,1998
1998-05-16,16,May,5,2,1998
1998-05-17,17,May,5,2,1998
1998-05-18,18,May,5,2,1998
1998-05-19,19,May,5,2,1998
1998-05-20,20,May,5,2,1998
1998-05-21,21,May,5,2,1998
1998-05-22,22,May,5,2,1998
1998-05-23,23,May,5,2,1998
1998-05-24,24,May,5,2,1998
1998-05-25,25,May,5,2,1998
1998-05-26,26,May,5,2,1998
1998-05-27,27,May,5,2,1998
1998-05-28,28,May,5,2,1998
1998-05-29,29,May,5,2,1998
1998-05-30,30,May,5,2,1998
1998-05-31,31,May,5,2,1998
1998-06-01,1,June,6,2,1998
1998-06-02,2,June,6,2,1998
1998-06-03,3,June,6,2,1998
1998-06-04,4,June,6,2,1998
1998-06-05,5,June,6,2,1998
1998-06-06,6,June,6,2,1998
1998-06-07,7,June,6,2,1998
1998-06-08,8,June,6,2,1998
1998-06-09,9,June,6,2,1998
1998-06-10,10,June,6,2,1998
1998-06-11,11,June,6,2,1998
1998-06-12,12,June,6,2,1998
1998-06-13,13,June,6,2,1998
1998-06-14,14,June,6,2,1998
1998-06-15,15,June,6,2,1998
1998-06-16,16,June,6,2,1998
1998-06-17,17,June,6,2,1998
1998-06-18,18,June,6,2,1998
1998-06-19,19,June,6,2,1998
1998-06-20,20,June,6,2,1998
1998-06-21,21,June,6,2,1998
1998-06-22,22,June,6,2,1998
1998-06-23,23,June,6,2,1998
1998-06-24,24,June,6,2,1998
1998-06-25,25,June,6,2,1998
1998-06-26,26,June,6,2,1998
1998-06-27,27,June,6,2,1998
1998-06-28,28,June,6,2,1998
1998-06-29,29,June,6,2,1998
1998-06-30,30,June,6,2,1998
